A_LR,0.0001,172.66336925260475
A_LR,0.0005,175.4766887211672
A_LR,0.001,195.62324637267488
A_LR,0.01,176.55993360617322
A_UPDATE_STEPS,10,171.3173620385437
A_UPDATE_STEPS,20,219.58686343162935
A_UPDATE_STEPS,50,360.05207331564
BATCH,128,117.77481376765718
BATCH,16,237.56775708256828
BATCH,32,170.96057791023304
BATCH,64,140.23108366853057
clip_epsilon,0.1,172.61369357572494
clip_epsilon,0.2,171.8402304149722
clip_epsilon,0.5,171.40271986630614
C_LR,0.0002,173.91275502286453
C_LR,0.0005,172.9547201200403
C_LR,0.002,180.83898288765567
C_LR,0.01,176.30219952205834
C_UPDATE_STEPS,10,171.59887428028287
C_UPDATE_STEPS,20,201.8251785296925
C_UPDATE_STEPS,50,283.15754261283746
EP_LEN,100,94.0617314576624
EP_LEN,300,225.99785647319038
EP_LEN,500,440.0427013799449
GAMMA,0.1,176.57441232363658
GAMMA,0.5,174.94127672942432
GAMMA,0.9,173.25784962387274
GAMMA,0.99,172.62897389745422
kl_target,0.01,179.48945020066537
kl_target,0.05,163.97809766432226
kl_target,0.1,147.46050598107036
optimization_type,0,255.67994165619822
optimization_type,1,257.8589531418318
should_norm_advantage,False,172.90034582635235
should_norm_advantage,True,173.3267351069817
should_random_target,False,299.81730219197044
should_random_target,True,273.17503933449103
